what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1290741628319
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1290741628359
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1290741628359
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1290741628474
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1290741628509
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1290741628579
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1290741628699
started,bundle,org.zkoss.eclipse.setting,0.9.6.v200912041237,"org.zkoss.eclipse.setting",1290741628699
started,bundle,org.zkoss.eclipse.zks,0.9.6.v200912041237,"org.zkoss.eclipse.zks",1290741628824
started,bundle,com.google.appengine.eclipse.sdkbundle.1.3.7,1.3.7.v201008311405,"com.google.appengine.eclipse.sdkbundle.1.3.7",1290741628884
started,bundle,com.google.gwt.eclipse.sdkbundle.2.0.4,2.0.4.v201006301254,"com.google.gwt.eclipse.sdkbundle.2.0.4",1290741628939
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1290741628989
started,bundle,com.google.appengine.eclipse.core,1.4.0.v201010280047,"com.google.appengine.eclipse.core",1290741628989
started,bundle,com.google.gdt.eclipse.core,1.4.0.v201010280047,"com.google.gdt.eclipse.core",1290741628989
started,bundle,com.google.gdt.eclipse.platform.e35,1.4.0.v201010280047,"com.google.gdt.eclipse.platform.e35",1290741628989
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.0.v201010280047,"com.google.gdt.eclipse.platform.shared",1290741628994
started,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280047,"com.google.gdt.eclipse.suite",1290741629044
started,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280047,"com.google.gwt.eclipse.core",1290741629179
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1290741629259
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1290741629304
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1290741629454
